Id,Divorce Date,Divorce Type,DOB Male,Age Male,Income Male,Marriage Date,Education Male,Marriage Year,Number Children,Zodiac_Sign,Income Category,Divorce Month
52,2003-05-02,Voluntary,1969-02-22,34.0,7000.0,1994-12-16,Bachelors,8.0,3.0,Pisces,Poor,05
53,2006-05-02,Necessary,1956-04-19,50.0,5000.0,1994-05-25,Bachelors,11.0,1.0,Aries,Poor,05
54,2006-05-02,Necessary,1975-01-31,31.0,4000.0,2002-08-21,Associates,3.0,1.0,Aquarius,Poor,05
55,2006-05-02,Necessary,1967-02-05,39.0,2000.0,1990-11-19,High School,15.0,3.0,Aquarius,Poor,05
56,2011-05-02,Necessary,1974-09-09,36.0,12000.0,2009-01-16,Associates,2.0,1.0,Virgo,Lower-middle Class,05
57,2011-05-02,Necessary,1966-10-24,44.0,15000.0,2001-11-17,Bachelors,9.0,1.0,Scorpio,Upper-middle Class,05
58,2011-05-02,Necessary,1955-06-19,55.0,10000.0,1979-11-17,Bachelors,32.0,2.0,Gemini,Lower-middle Class,05
59,2012-05-02,Necessary,1970-12-29,41.0,412362.0,1993-04-07,Associates,19.0,1.0,Capricorn,Wealthy,05
60,2005-06-02,Necessary,1954-03-10,51.0,20000.0,1975-12-22,Bachelors,29.0,2.0,Pisces,Wealthy,06
61,2006-06-02,Necessary,1964-08-15,41.0,5000.0,1998-12-19,Bachelors,7.0,2.0,Leo,Poor,06
62,2010-06-02,Necessary,1972-10-06,37.0,4000.0,1998-04-03,Bachelors,12.0,3.0,Libra,Poor,06
63,2003-07-02,Voluntary,1968-04-15,35.0,5000.0,1995-06-02,Bachelors,8.0,1.0,Aries,Poor,07
64,2008-07-02,Necessary,1959-06-15,49.0,5000.0,2003-05-02,Bachelors,3.0,3.0,Gemini,Poor,07
65,2009-07-02,Necessary,1969-05-31,40.0,3000.0,1996-03-20,High School,10.0,2.0,Gemini,Poor,07
66,2014-07-02,Necessary,1974-10-22,39.0,19000.0,2006-09-13,Associates,7.0,2.0,Libra,Upper-middle Class,07
67,2003-09-02,Voluntary,1965-11-09,37.0,15000.0,1999-09-10,Bachelors,3.0,1.0,Scorpio,Upper-middle Class,09
68,2003-09-02,Voluntary,1966-01-07,37.0,7000.0,1989-09-19,High School,13.0,3.0,Capricorn,Poor,09
69,2004-09-02,Voluntary,1966-11-02,37.0,20000.0,1989-11-03,Bachelors,15.0,1.0,Scorpio,Wealthy,09
70,2010-09-02,Necessary,1985-12-05,24.0,2500.0,2007-09-03,Bachelors,3.0,1.0,Sagittarius,Poor,09
71,2013-09-02,Necessary,1965-07-20,48.0,10000.0,1991-11-15,Bachelors,21.0,3.0,Cancer,Lower-middle Class,09
72,2001-10-02,Voluntary,1970-11-13,30.0,3500.0,1995-02-25,Bachelors,6.0,1.0,Scorpio,Poor,10
73,2006-10-02,Voluntary,1955-10-10,50.0,40000.0,1981-04-06,Bachelors,24.0,1.0,Libra,Wealthy,10
74,2006-10-02,Necessary,1968-11-05,37.0,9000.0,1989-08-12,High School,17.0,2.0,Scorpio,Poor,10
75,2006-10-02,Necessary,1973-01-07,33.0,15000.0,1993-07-22,Associates,13.0,1.0,Capricorn,Upper-middle Class,10
76,2009-10-02,Necessary,1968-11-26,40.0,6000.0,1999-04-29,Bachelors,9.0,1.0,Sagittarius,Poor,10
77,2009-10-02,Necessary,1971-08-17,38.0,10000.0,2002-07-13,Bachelors,5.0,1.0,Leo,Lower-middle Class,10
78,2013-10-02,Necessary,1975-01-09,38.0,3000.0,1996-11-30,Associates,9.0,2.0,Capricorn,Poor,10
79,2009-12-02,Necessary,1973-06-30,36.0,4000.0,2003-07-08,Associates,6.0,1.0,Cancer,Poor,12
80,2011-12-02,Necessary,1975-09-22,36.0,6000.0,1999-08-17,High School,12.0,1.0,Virgo,Poor,12
81,2011-12-02,Necessary,1972-07-14,39.0,15600.0,1997-04-26,Bachelors,14.0,1.0,Cancer,Upper-middle Class,12
82,2014-12-02,Voluntary,1951-04-22,63.0,20000.0,1985-07-20,Bachelors,29.0,2.0,Taurus,Wealthy,12
83,2001-01-03,Voluntary,1969-11-13,31.0,5400.0,1993-02-15,Bachelors,7.0,2.0,Scorpio,Poor,01
84,2002-01-03,Voluntary,1960-01-04,41.0,12000.0,1992-08-01,Bachelors,9.0,1.0,Capricorn,Lower-middle Class,01
85,2012-01-03,Voluntary,1961-01-09,50.0,18000.0,1983-12-16,Bachelors,28.0,2.0,Capricorn,Upper-middle Class,01
86,2013-01-03,Necessary,1980-09-16,32.0,30000.0,2007-05-26,Bachelors,5.0,1.0,Virgo,Wealthy,01
87,2010-02-03,Voluntary,1958-09-14,51.0,5000.0,1978-03-27,Elementary,30.0,2.0,Virgo,Poor,02
88,2004-03-03,Voluntary,1967-12-02,36.0,2240.0,1992-07-14,Bachelors,11.0,3.0,Sagittarius,Poor,03
89,2004-03-03,Voluntary,1954-11-24,49.0,25000.0,1986-06-07,Bachelors,17.0,2.0,Sagittarius,Wealthy,03
90,2008-03-03,Necessary,1948-09-22,59.0,2000.0,1973-04-26,Elementary,26.0,5.0,Virgo,Poor,03
91,2011-03-03,Necessary,1970-11-30,40.0,10000.0,1995-04-29,Associates,15.0,3.0,Sagittarius,Lower-middle Class,03
92,2011-03-03,Necessary,1973-12-01,37.0,4000.0,1991-06-17,High School,19.0,1.0,Sagittarius,Poor,03
93,2002-04-03,Voluntary,1970-03-26,32.0,5000.0,1996-04-20,High School,5.0,2.0,Aries,Poor,04
94,2002-04-03,Voluntary,1954-09-25,47.0,16000.0,1991-06-25,Bachelors,10.0,2.0,Libra,Upper-middle Class,04
95,2003-04-03,Voluntary,1965-03-29,38.0,4800.0,1994-06-25,Associates,8.0,1.0,Aries,Poor,04
96,2007-04-03,Necessary,1980-12-05,26.0,5000.0,2005-05-04,Associates,1.0,1.0,Sagittarius,Poor,04
97,2007-04-03,Necessary,1981-10-28,25.0,3000.0,2001-02-26,Associates,6.0,1.0,Scorpio,Poor,04
98,2008-04-03,Necessary,1969-08-19,38.0,10856.0,1994-12-17,Bachelors,14.0,1.0,Leo,Lower-middle Class,04
99,2002-05-03,Voluntary,1958-05-12,43.0,4500.0,1984-12-17,Bachelors,17.0,2.0,Taurus,Poor,05
100,2006-05-03,Voluntary,1951-08-02,54.0,18000.0,2005-04-16,Bachelors,1.0,2.0,Leo,Upper-middle Class,05
101,2012-05-03,Necessary,1970-11-30,41.0,563218.0,1998-09-17,Bachelors,13.0,1.0,Sagittarius,Wealthy,05
102,2013-05-03,Necessary,1977-05-24,35.0,10000.0,2001-09-20,Bachelors,12.0,1.0,Gemini,Lower-middle Class,05
103,2002-06-03,Voluntary,1970-08-22,31.0,6250.0,1992-12-30,Associates,9.0,1.0,Leo,Poor,06
104,2002-06-03,Voluntary,1967-09-20,34.0,4500.0,1991-06-08,Bachelors,10.0,1.0,Virgo,Poor,06
105,2009-06-03,Voluntary,1963-01-18,46.0,5000.0,1989-08-01,Associates,29.0,2.0,Capricorn,Poor,06
106,2014-06-03,Necessary,1974-04-15,40.0,6000.0,2006-02-17,Associates,9.0,1.0,Aries,Poor,06
107,2014-06-03,Necessary,1985-02-11,29.0,4000.0,2011-05-27,High School,2.0,1.0,Aquarius,Poor,06
108,2000-07-03,Voluntary,1955-10-30,44.0,5000.0,1981-06-05,Bachelors,1.0,1.0,Scorpio,Poor,07
109,2001-07-03,Voluntary,1947-05-12,54.0,100000.0,1974-09-21,Bachelors,26.0,2.0,Taurus,Wealthy,07
110,2001-07-03,Voluntary,1960-05-03,41.0,3000.0,1981-04-28,Elementary,20.0,3.0,Taurus,Poor,07
111,2003-07-03,Voluntary,1964-10-28,38.0,5400.0,1995-06-02,Bachelors,8.0,1.0,Scorpio,Poor,07
112,2012-07-03,Necessary,1966-12-05,45.0,8000.0,1992-10-22,Associates,20.0,1.0,Sagittarius,Poor,07
113,2001-08-03,Voluntary,1973-07-04,28.0,3000.0,1999-07-03,High School,2.0,1.0,Cancer,Poor,08
114,2009-08-03,Necessary,1961-12-16,47.0,6000.0,1993-03-20,Bachelors,16.0,1.0,Sagittarius,Poor,08
115,2009-08-03,Necessary,1973-04-16,36.0,11000.0,2002-05-07,Associates,7.0,1.0,Aries,Lower-middle Class,08
116,2007-09-03,Necessary,1970-09-05,36.0,7400.0,1990-10-30,Associates,16.0,3.0,Virgo,Poor,09
117,2007-09-03,Necessary,1961-04-15,46.0,7000.0,1984-01-28,Bachelors,23.0,1.0,Aries,Poor,09
118,2013-09-03,Necessary,1978-07-30,35.0,8000.0,1998-10-09,Bachelors,15.0,1.0,Leo,Poor,09
119,2001-10-03,Voluntary,1961-10-22,39.0,4000.0,1985-07-30,Bachelors,16.0,2.0,Libra,Poor,10
120,2001-10-03,Voluntary,1963-02-04,38.0,3000.0,1982-06-05,Associates,19.0,3.0,Aquarius,Poor,10
121,2008-10-03,Necessary,1975-01-24,33.0,7000.0,2006-08-21,Bachelors,1.0,1.0,Aquarius,Poor,10
122,2008-10-03,Voluntary,1964-10-24,43.0,35000.0,1985-02-13,High School,23.0,3.0,Scorpio,Wealthy,10
123,2012-10-03,Necessary,1980-08-05,32.0,4000.0,2006-09-29,Bachelors,4.0,1.0,Leo,Poor,10
124,2004-11-03,Voluntary,1961-11-26,42.0,15000.0,1993-05-22,Bachelors,11.0,2.0,Sagittarius,Upper-middle Class,11
125,2008-11-03,Necessary,1972-11-16,35.0,6000.0,1995-08-18,Bachelors,12.0,3.0,Scorpio,Poor,11
126,2009-11-03,Necessary,1963-12-26,45.0,10000.0,1990-01-12,Bachelors,19.0,2.0,Capricorn,Lower-middle Class,11
127,2009-11-03,Necessary,1964-11-22,44.0,9000.0,1999-09-22,Bachelors,10.0,2.0,Sagittarius,Poor,11
128,2011-11-03,Necessary,1977-07-08,34.0,6000.0,2001-07-25,Bachelors,10.0,1.0,Cancer,Poor,11
129,2011-11-03,Necessary,1963-11-19,47.0,25000.0,1998-10-17,Bachelors,13.0,3.0,Scorpio,Wealthy,11
130,2001-12-03,Voluntary,1949-08-28,52.0,2500.0,1974-03-16,High School,27.0,4.0,Virgo,Poor,12
131,2001-12-03,Voluntary,1961-01-06,40.0,1000.0,1988-04-16,Elementary,13.0,3.0,Capricorn,Poor,12
132,2004-12-03,Voluntary,1957-09-20,47.0,2120.0,1981-12-17,Bachelors,22.0,2.0,Virgo,Poor,12
133,2004-12-03,Voluntary,1954-06-15,50.0,16000.0,1981-08-29,Bachelors,23.0,3.0,Gemini,Upper-middle Class,12
134,2007-12-03,Necessary,1952-07-29,55.0,4500.0,1986-05-10,Bachelors,25.0,2.0,Leo,Poor,12
135,2008-12-03,Necessary,1961-09-22,47.0,3500.0,1990-02-03,Bachelors,18.0,2.0,Virgo,Poor,12
136,2008-12-03,Necessary,1951-06-11,57.0,4400.0,1981-05-07,Bachelors,27.0,2.0,Gemini,Poor,12
137,2009-12-03,Necessary,1955-09-03,54.0,6500.0,1979-04-11,Bachelors,9.0,2.0,Virgo,Poor,12
138,2001-01-04,Voluntary,1943-06-03,57.0,10000.0,2031-08-31,Associates,30.0,4.0,Gemini,Lower-middle Class,01
139,2012-01-04,Necessary,1958-10-07,53.0,13000.0,1976-08-28,Bachelors,29.0,3.0,Libra,Lower-middle Class,01
140,2002-02-04,Voluntary,1970-09-24,31.0,10000.0,1997-07-11,Bachelors,4.0,1.0,Libra,Lower-middle Class,02
141,2005-02-04,Voluntary,1948-12-10,56.0,14000.0,1972-04-09,Bachelors,32.0,2.0,Sagittarius,Lower-middle Class,02
142,2010-02-04,Necessary,1962-06-08,47.0,3000.0,2002-06-22,High School,6.0,1.0,Gemini,Poor,02
143,2010-02-04,Necessary,1964-10-10,45.0,10000.0,1993-02-18,Bachelors,14.0,1.0,Libra,Lower-middle Class,02
144,2011-02-04,Necessary,1968-06-24,42.0,6000.0,1996-03-30,Associates,14.0,1.0,Cancer,Poor,02
145,2014-02-04,Necessary,1983-12-06,30.0,6000.0,2008-04-25,High School,5.0,2.0,Sagittarius,Poor,02
146,2004-03-04,Voluntary,1967-09-30,36.0,17000.0,1990-09-03,Associates,13.0,3.0,Libra,Upper-middle Class,03
147,2004-03-04,Voluntary,1962-03-20,41.0,12000.0,1999-03-31,Bachelors,4.0,1.0,Pisces,Lower-middle Class,03
148,2011-03-04,Necessary,1981-04-26,29.0,7000.0,2000-05-09,High School,10.0,3.0,Taurus,Poor,03
149,2008-04-04,Necessary,1965-08-05,42.0,7000.0,1986-10-25,Associates,21.0,2.0,Leo,Poor,04
150,2014-04-04,Necessary,1971-04-30,42.0,5000.0,2002-06-28,Bachelors,12.0,2.0,Taurus,Poor,04
151,2007-05-04,Necessary,1963-11-17,43.0,12000.0,1988-12-10,Bachelors,15.0,1.0,Scorpio,Lower-middle Class,05
152,2011-05-04,Necessary,1973-04-16,38.0,5000.0,2001-10-24,Bachelors,10.0,2.0,Aries,Poor,05
153,2002-06-04,Voluntary,1960-12-01,41.0,12000.0,1990-05-12,Bachelors,12.0,1.0,Sagittarius,Lower-middle Class,06
154,2002-06-04,Voluntary,1964-04-02,38.0,3500.0,1991-11-12,Associates,10.0,1.0,Aries,Poor,06
155,2007-06-04,Necessary,1977-05-23,30.0,2500.0,1999-12-06,Associates,7.0,1.0,Gemini,Poor,06
156,2000-07-04,Voluntary,1958-01-12,42.0,5000.0,1982-08-27,Bachelors,17.0,1.0,Capricorn,Poor,07
157,2003-07-04,Voluntary,1964-12-03,38.0,20000.0,1990-08-10,Elementary,12.0,1.0,Sagittarius,Wealthy,07
158,2008-07-04,Necessary,1969-03-25,39.0,9000.0,1993-09-28,Bachelors,14.0,2.0,Aries,Poor,07
159,2011-07-04,Necessary,1979-04-08,32.0,3600.0,1997-07-18,No Education,13.0,2.0,Aries,Poor,07
160,2003-08-04,Voluntary,1963-02-08,40.0,6000.0,1985-03-11,Associates,18.0,2.0,Aquarius,Poor,08
161,2003-08-04,Voluntary,1979-01-02,24.0,5000.0,2000-06-17,Associates,3.0,1.0,Capricorn,Poor,08
162,2003-09-04,Voluntary,1976-05-15,27.0,18000.0,1997-03-24,High School,6.0,1.0,Taurus,Upper-middle Class,09
163,2006-09-04,Necessary,1969-02-15,37.0,5000.0,1994-08-05,Bachelors,12.0,1.0,Aquarius,Poor,09
164,2001-10-04,Voluntary,1934-12-28,66.0,2000.0,2052-04-02,Associates,48.0,7.0,Capricorn,Poor,10
165,2002-10-04,Voluntary,1966-09-01,36.0,35000.0,1998-08-15,Bachelors,4.0,1.0,Virgo,Wealthy,10
166,2002-10-04,Voluntary,1959-09-30,43.0,5000.0,1999-04-09,Bachelors,3.0,1.0,Libra,Poor,10
167,2006-10-04,Necessary,1965-09-02,41.0,8000.0,1993-05-08,Bachelors,13.0,2.0,Virgo,Poor,10
168,2010-10-04,Necessary,1949-04-22,61.0,25000.0,1998-11-28,Bachelors,9.0,2.0,Taurus,Wealthy,10
169,2011-10-04,Necessary,1973-07-01,38.0,8400.0,1998-02-10,High School,13.0,1.0,Cancer,Poor,10
170,2011-10-04,Necessary,1970-09-03,41.0,7000.0,1990-03-29,Bachelors,21.0,2.0,Virgo,Poor,10
171,2012-10-04,Voluntary,1969-05-05,43.0,9000.0,1992-12-18,Bachelors,19.0,1.0,Taurus,Poor,10
172,2012-10-04,Voluntary,1954-04-26,58.0,7000.0,1978-08-31,Bachelors,34.0,2.0,Taurus,Poor,10
173,2013-11-04,Voluntary,1956-05-28,57.0,2000.0,1984-05-26,High School,29.0,2.0,Gemini,Poor,11
174,2000-12-04,Voluntary,1970-02-21,30.0,1500.0,1993-10-07,High School,7.0,1.0,Pisces,Poor,12
175,2000-12-04,Voluntary,1961-12-13,38.0,7000.0,1987-07-11,Associates,3.0,1.0,Sagittarius,Poor,12
176,2001-12-04,Voluntary,1954-08-12,47.0,5500.0,1993-12-10,Bachelors,7.0,1.0,Leo,Poor,12
177,2002-12-04,Voluntary,1978-11-05,24.0,3000.0,1998-12-14,High School,3.0,1.0,Scorpio,Poor,12
178,2003-12-04,Voluntary,1968-01-27,35.0,7000.0,1996-12-20,Bachelors,6.0,1.0,Aquarius,Poor,12
179,2003-12-04,Voluntary,1967-06-30,36.0,5000.0,1987-12-15,Bachelors,15.0,2.0,Cancer,Poor,12
180,2006-12-04,Necessary,1957-12-24,48.0,15000.0,1981-08-01,Bachelors,25.0,1.0,Capricorn,Upper-middle Class,12
181,2006-12-04,Necessary,1969-10-16,37.0,5000.0,1999-08-20,Associates,7.0,2.0,Libra,Poor,12
182,2012-12-04,Necessary,1979-03-17,33.0,20000.0,2001-11-24,Bachelors,11.0,1.0,Pisces,Wealthy,12
183,2013-02-05,Necessary,1974-03-06,38.0,3000.0,1995-10-28,Elementary,16.0,2.0,Pisces,Poor,02
184,2003-03-05,Voluntary,1960-12-29,42.0,20000.0,1985-12-21,Bachelors,13.0,2.0,Capricorn,Wealthy,03
185,2003-03-05,Voluntary,1957-03-15,45.0,8000.0,1987-08-21,Bachelors,15.0,1.0,Pisces,Poor,03
186,2003-03-05,Voluntary,1971-01-31,32.0,4000.0,1997-05-24,Bachelors,5.0,1.0,Aquarius,Poor,03
187,2003-03-05,Voluntary,1966-05-02,36.0,4000.0,1986-02-12,Associates,17.0,2.0,Taurus,Poor,03
188,2004-03-05,Voluntary,1963-10-06,40.0,2500.0,1995-05-02,Associates,8.0,1.0,Libra,Poor,03
189,2004-03-05,Voluntary,1954-07-30,49.0,12000.0,1975-07-21,Elementary,28.0,1.0,Leo,Lower-middle Class,03
190,2002-04-05,Voluntary,1960-07-28,41.0,3000.0,1983-07-14,Bachelors,18.0,2.0,Leo,Poor,04
191,2002-04-05,Voluntary,1957-04-16,44.0,8000.0,1974-03-18,High School,27.0,3.0,Aries,Poor,04
192,2012-04-05,Necessary,1974-07-13,37.0,5500.0,2000-03-03,Bachelors,11.0,2.0,Cancer,Poor,04
193,2002-06-05,Voluntary,1956-05-02,46.0,2000.0,1982-01-18,Elementary,20.0,2.0,Taurus,Poor,06
194,2003-06-05,Voluntary,1962-04-11,41.0,6000.0,1986-06-28,Bachelors,16.0,2.0,Aries,Poor,06
195,2014-06-05,Necessary,1975-05-29,39.0,25000.0,2002-12-20,Bachelors,12.0,2.0,Gemini,Wealthy,06
196,2000-07-05,Voluntary,1953-05-21,47.0,8000.0,1975-12-22,Associates,24.0,1.0,Gemini,Poor,07
197,2002-07-05,Voluntary,1977-08-15,24.0,2400.0,1996-02-14,High School,6.0,1.0,Leo,Poor,07
198,2002-07-05,Voluntary,1960-02-13,42.0,5000.0,1993-01-09,Bachelors,9.0,2.0,Aquarius,Poor,07
199,2013-07-05,Necessary,1980-01-09,33.0,4000.0,2000-06-01,Associates,10.0,2.0,Capricorn,Poor,07
200,2002-08-05,Voluntary,1956-08-26,45.0,20000.0,1985-02-23,Bachelors,17.0,2.0,Virgo,Wealthy,08
201,2003-08-05,Voluntary,1957-05-31,46.0,15000.0,1986-08-09,Bachelors,18.0,1.0,Gemini,Upper-middle Class,08
202,2009-08-05,Necessary,1974-11-08,34.0,6500.0,1996-06-21,Elementary,13.0,2.0,Scorpio,Poor,08
203,2010-08-05,Necessary,1957-11-08,52.0,4000.0,1998-10-19,Associates,12.0,2.0,Scorpio,Poor,08
204,2000-09-05,Voluntary,1954-04-25,46.0,12000.0,1979-10-26,Bachelors,20.0,2.0,Taurus,Lower-middle Class,09
205,2003-09-05,Voluntary,1969-08-10,34.0,2600.0,1995-10-05,High School,7.0,2.0,Leo,Poor,09
206,2003-09-05,Voluntary,1958-02-14,45.0,50000.0,1979-05-14,Associates,24.0,3.0,Aquarius,Wealthy,09
207,2005-09-05,Necessary,1946-03-04,59.0,50000.0,1971-07-09,Bachelors,34.0,3.0,Pisces,Wealthy,09
208,2005-09-05,Necessary,1953-06-01,52.0,50000.0,1977-04-06,Bachelors,28.0,3.0,Gemini,Wealthy,09
209,2005-09-05,Necessary,1943-10-08,61.0,20000.0,1996-09-12,Bachelors,9.0,3.0,Libra,Wealthy,09
210,2011-09-05,Necessary,1977-08-20,34.0,20000.0,2005-09-10,Bachelors,5.0,1.0,Leo,Wealthy,09
211,2011-09-05,Necessary,1965-12-29,45.0,4000.0,1989-08-17,Bachelors,22.0,2.0,Capricorn,Poor,09
212,2012-09-05,Necessary,1985-06-03,27.0,15000.0,2007-04-14,Bachelors,5.0,1.0,Gemini,Upper-middle Class,09
213,2001-10-05,Voluntary,1962-06-06,39.0,9000.0,1991-02-14,Bachelors,10.0,2.0,Gemini,Poor,10
214,2009-10-05,Voluntary,1951-07-19,58.0,3620.0,1981-11-14,Bachelors,28.0,2.0,Cancer,Poor,10
215,2009-10-05,Necessary,1971-08-31,38.0,15000.0,1994-01-15,Bachelors,15.0,1.0,Virgo,Upper-middle Class,10
216,2009-10-05,Necessary,1941-12-29,67.0,7000.0,2067-11-04,Associates,22.0,1.0,Capricorn,Poor,10
217,2011-10-05,Necessary,1964-11-19,46.0,20000.0,1990-11-17,Bachelors,20.0,1.0,Scorpio,Wealthy,10
218,2011-10-05,Necessary,1973-07-25,38.0,2500.0,2001-02-09,Associates,10.0,2.0,Leo,Poor,10
219,2012-10-05,Necessary,1980-12-10,31.0,4000.0,2008-08-08,Associates,4.0,1.0,Sagittarius,Poor,10
